WikiID,Name,global_revenue,budget,gross_domestic,opening_weekend,rating_score,number_of_ratings,watched_rank,producer,release_year
1343208,Code 46,886018.0,7500000.0,285585.0,20170.0,6.1,21000.0,None,Michael Winterbottom,2003
11009228,El Inmigrante,15100.0,40000.0,15100.0,1578.0,8.0,64.0,None,Dave Eckenrode,2005
24705066,The Best Damn Fiddler from Calabogie to Kaladar,None,None,None,None,7.8,48.0,None,Peter Pearson,1969
26305587,Sindubad,None,None,None,None,None,None,None,None,None
5847938,The Sex Spa,None,None,None,None,None,None,None,None,None
9773680,Chimbela,None,None,None,None,None,None,None,José A. Ferreyra,1939
12961147,An Aerial Joyride,None,None,None,None,None,None,None,Will Louis,1916
26049282,Soorya Gayathri,None,None,None,None,6.5,159.0,None,P. Anil,1992
19954197,Web of Fear,None,None,None,None,None,None,None,None,None
28794391,Changing Tides,None,None,None,None,None,None,None,None,None
8943615,Ground Truth,20013.0,None,20013.0,12207.0,7.5,752.0,None,Patricia Foulkrod,2006
1337353,Suicide Kings,1740156.0,5000000.0,1740156.0,558081.0,6.9,29000.0,None,Peter O'Fallon,1997
8703922,Paloh,None,None,None,None,7.2,26.0,None,Adman Salleh,2003
19888701,Longitude,None,None,None,None,7.8,2400.0,None,Charles Sturridge,2000
22767958,La journée de la jupe,905445.0,1600000.0,None,None,6.9,2700.0,None,Jean-Paul Lilienfeld,2008
22643056,Luchtkastelen,None,None,None,None,None,None,None,Louis H. Chrispijn,1914
30712507,Main zindagi hoon,None,None,None,None,None,None,None,None,None
31664553,Actor's and Sin,None,None,None,None,5.3,183.0,None,Ben Hecht,1952
14656940,Shadow on the Wall,None,701000.0,None,None,6.7,1400.0,None,Pat Jackson,1950
16733391,Une chambre en ville,None,None,None,None,6.8,1600.0,None,Jacques Demy,1982
12563993,Begone Dull Care,None,None,None,None,7.3,1700.0,None,Evelyn Lambart,1950
2267646,Stealing a Nation,None,None,None,None,8.3,397.0,None,John Pilger,2004
30306989,Female Perversions,926954.0,None,926954.0,None,5.4,2600.0,None,Susan Streitfeld,1996
9993014,Matrimonio a la argentina,None,None,None,None,None,None,None,None,None
14228567,A Snitch in Time,None,None,None,None,7.4,344.0,None,Edward Bernds,1950
13233891,Shred 2,None,None,None,None,3.2,453.0,None,David Mitchell,2009
470185,Three Days of the Condor,27476252.0,20000000.0,27476252.0,None,7.4,61000.0,4092.0,Sydney Pollack,1975
5608558,Another Fine Mess,None,None,None,None,7.3,2600.0,None,James Parrott,1930
11943293,Taxi Driver,None,None,None,None,6.7,300.0,None,Chetan Anand,1954
12526856,Flic Story,None,None,None,None,6.9,2700.0,None,Jacques Deray,1975
13169070,In the Hands of the Gods,65921.0,None,None,None,7.0,616.0,None,Ben Turner,2007
25816034,Chōchin,None,None,None,None,7.0,11.0,None,Shunichi Kajima,1987
5906140,The Last Warning,None,None,None,None,6.9,762.0,None,Paul Leni,1928
17595645,Mostly Ghostly: Who Let the Ghosts Out?,None,None,None,None,4.9,1600.0,None,Richard Correll,2007
13494664,We'll Meet Again,None,None,None,None,5.9,166.0,None,Philip Brandon,1943
23624480,Man Without a Head,None,None,None,None,None,None,None,None,None
28030619,Slices of Life,None,None,None,None,3.3,681.0,None,Anthony G. Sumner,2010
20696203,Double Cross,None,None,None,None,4.2,53.0,None,Vicky Tejwani,2005
34191364,Kirathaka,None,None,None,None,7.5,285.0,None,Pradeep Raj,2011
34187456,Operazione Goldman,None,None,None,None,5.0,342.0,None,Antonio Margheriti,1966
26113397,Bonded by Blood,None,4000000.0,None,None,5.5,2700.0,None,Sacha Bennett,2010
29172522,Rag Doll,None,None,None,None,5.6,159.0,None,Lance Comfort,1961
32648655,3,None,220000000.0,None,None,7.4,6100.0,None,Aishwarya Dhanush,2012
19303404,Monkey Business,None,None,None,None,6.4,83.0,None,Robert F. McGowan,1926
1688975,Sade,100544.0,None,100544.0,16782.0,6.1,1800.0,None,Benoît Jacquot,2000
20904126,Kali Raat,None,None,None,None,None,None,None,Shriram Bohra,1977
11283824,Local Color,32788.0,3000000.0,32788.0,7183.0,6.8,1700.0,None,George Gallo,2006
66205,Maryam,129265.0,None,129265.0,None,6.8,298.0,None,Ramin Serry,2002
24131841,The Ward,5343820.0,10000000.0,None,None,5.5,44000.0,4046.0,John Carpenter,2010
19658326,Burlesque in Harlem,None,None,None,None,5.9,35.0,None,William Alexander,1949
32417827,Charley's Aunt,None,None,None,None,5.1,301.0,None,Géza von Cziffra,1963
21253839,Ski Patrol,8533973.0,None,8533973.0,1648000.0,5.1,4000.0,None,Richard Correll,1990
10318873,Last House on Dead End Street,None,1500.0,None,None,5.1,2300.0,None,Roger Watkins,1973
18543295,Four Hours to Kill!,None,None,None,None,6.8,199.0,None,Mitchell Leisen,1935
3317085,On Any Sunday,None,313000.0,None,None,7.7,1500.0,None,Bruce Brown,1971
13075853,Kabzaa,None,None,None,None,6.0,239.0,None,Mahesh Bhatt,1988
28207486,Jack and the Beanstalk,None,None,None,None,6.1,192.0,None,Dave Fleischer,1931
23850926,Vidas al Máximo,None,None,None,None,None,None,None,None,None
14735478,Walking Back,None,None,None,None,6.9,68.0,None,Rupert Julian,1928
9999978,Los Cuatro secretos,None,None,None,None,None,None,None,None,None
13631613,The Pathetic Fallacy,None,None,None,None,7.5,605.0,None,Ritwik Ghatak,1958
9471632,My Side of the Mountain,None,None,None,None,6.6,1100.0,None,James B. Clark,1969
28184998,Pražská pětka,None,None,None,None,6.8,155.0,None,Tomás Vorel,1989
1141361,Red-Headed Woman,None,401000.0,None,None,7.0,3500.0,None,Jack Conway,1932
29250382,Secret Venture,None,None,None,None,5.3,25.0,None,R.G. Springsteen,1955
33113634,The Unforgettable Year 1919,None,None,None,None,6.3,58.0,None,Mikheil Chiaureli,1951
1880039,The Harder They Fall,None,None,1350000.0,None,7.5,8800.0,None,Mark Robson,1956
14947024,The Prospector's Vengeance,None,None,None,None,None,None,None,B. Reeves Eason,1920
35970346,Scandal in Paris,None,None,None,None,4.6,8.0,None,Robert Wiene,1928
31153803,Aromalunni,None,None,None,None,6.8,7.0,None,Kunchacko,1972
24916243,Sleeping Betty,None,None,None,None,7.8,560.0,None,Claude Cloutier,2007
1290721,Dreamscape,12145169.0,None,12145169.0,2257627.0,6.3,18000.0,None,Joseph Ruben,1984
16189113,The Slammin' Salmon,60421.0,None,41587.0,26167.0,6.4,15000.0,None,Kevin Heffernan,2009
10124804,Night Riders,None,None,None,None,7.2,67.0,None,Martin Hollý,1981
23092641,Angala parameswari,None,None,None,None,None,None,None,None,None
29836849,Cave-In!,None,None,None,None,5.3,161.0,None,Georg Fenady,1983
238004,The Rescuers Down Under,27931461.0,30000000.0,27931461.0,3499819.0,6.8,46000.0,None,Hendel Butoy,1990
22718776,Dead Ahead: The Exxon Valdez Disaster,None,None,None,None,6.5,285.0,None,Paul Seed,1992
24282011,Private Eye,10096836.0,None,None,None,6.7,1000.0,None,Dae-min Park,2009
2572817,A Gathering of Eagles,None,3346500.0,None,None,6.1,1100.0,None,Delbert Mann,1963
3833932,Keep Fit,None,None,None,None,5.8,182.0,None,Anthony Kimmins,1937
13731934,Buffalo Bill,None,None,None,None,6.4,1700.0,None,William A. Wellman,1944
1594261,"Motown 25: Yesterday, Today, Forever",None,None,None,None,8.9,338.0,None,Don Mischer,1983
25168343,Piece of My Heart,None,None,None,None,8.0,44.0,None,Fiona Samuel,2009
9852674,The Personality Kid,None,None,None,None,5.8,161.0,None,Alan Crosland,1934
4085840,CKY 3,None,None,None,None,7.2,2700.0,None,Bam Margera,1999
23320753,Mohandas,None,None,None,None,7.2,128.0,None,Mazhar Kamran,2009
31029003,En defensa Propia,None,None,None,None,None,None,None,Joaquín Coss,1917
8349539,Moon Pilot,None,None,None,None,5.4,516.0,None,James Neilson,1962
4569282,Andha Kanoon,None,None,None,None,6.2,780.0,None,Rama Rao Tatineni,1983
31366063,Don't Go Breaking My Heart,2206089.0,None,None,None,6.5,1900.0,None,Johnnie To,2011
6489552,Maximum Ride,None,None,None,None,None,None,None,None,None
3439619,Read my Lips,5393526.0,49000000.0,1471911.0,27080.0,7.3,16000.0,None,Jacques Audiard,2001
4944730,M. Kumaran son of Mahalakshmi,None,None,None,None,7.1,1400.0,None,Mohan Raja,2004
17256781,The Living Death,None,None,None,None,None,None,None,Tod Browning,1915
3959154,Everything's Ducky,None,None,None,None,4.4,144.0,None,Don Taylor,1961
17657216,"Women - for America, for the World",None,None,None,None,5.7,60.0,None,Vivienne Verdon-Roe,1986
33064104,Zatoichi: The Last,3680822.0,None,None,None,5.2,392.0,None,Junji Sakamoto,2010
32453940,London Pride,None,None,None,None,None,None,None,Harold M. Shaw,1920
21787356,Premi No.1,None,None,None,None,6.2,25.0,None,Debu Pattnaik,2009
32777428,Man of Music,None,None,None,None,6.2,66.0,None,Grigoriy Aleksandrov,1952
32883433,Veedu,None,None,None,None,8.4,300.0,None,Balu Mahendra,1988
22093148,Bili Hendthi,None,None,None,None,7.1,28.0,None,S.R. Puttana Kanagal,1975
16341405,The Mountain Pass of Love and Hate,None,None,None,None,None,None,None,Kenji Mizoguchi,1934
31743775,Denmark,None,None,None,None,8.2,41.0,None,Daniel Fickle,2011
29186802,Marcel the Shell,None,None,None,None,7.6,942.0,None,Dean Fleischer Camp,2010
8396653,Ahmad Albab,None,None,None,None,8.3,82.0,None,P. Ramlee,1968
20904071,Do Chehere,None,None,None,None,5.3,9.0,None,Kewal Misra,1977
23419378,Adultery Addiction: Sensual Daze,None,None,None,None,None,None,None,None,None
25198120,Suing the Pope,None,None,None,None,None,None,None,None,None
22059060,John and Yoko: A Love Story,None,None,None,None,5.8,231.0,None,Sandor Stern,1985
25612344,Dzi Croquettes,None,None,None,None,8.1,379.0,None,Raphael Alvarez,2009
16822073,Last Time Forever,None,None,None,None,None,None,None,None,None
14291388,The Limits of Control,1981134.0,None,426688.0,55820.0,6.2,21000.0,None,Jim Jarmusch,2009
12801908,Rotation,None,None,None,None,7.4,378.0,None,Wolfgang Staudte,1949
26381248,Fifi Martingale,None,None,None,None,5.5,52.0,None,Jacques Rozier,2001
34982179,Tabou,None,None,None,None,None,None,None,None,None
75222,Spaceballs,38119483.0,22700000.0,38119483.0,6613837.0,7.1,202000.0,1068.0,Mel Brooks,1987
8088017,Assassination,None,None,None,None,7.1,954.0,None,Masahiro Shinoda,1964
36319171,Trás-os-Montes,None,None,None,None,7.1,252.0,None,Margarida Cordeiro,1976
33802867,He-Man,None,None,None,None,5.9,193.0,None,Sheng Ding,2011
18038036,Her Escape,None,None,None,None,None,None,None,Joseph De Grasse,1914
30160906,The Cow Who Wanted to Be a Hamburger,None,None,None,None,6.9,279.0,None,Bill Plympton,2010
1701018,Babes on Broadway,None,940068.0,None,None,6.6,1600.0,None,Busby Berkeley,1941
3343102,Carinosa,None,None,None,None,None,None,None,None,None
30658739,Zeitgeist: Moving Forward,None,None,None,None,None,None,None,None,None
17521789,Vaada Raha... I Promise,None,None,None,None,5.7,453.0,None,Samir Karnik,2009
19033808,Pan Tadeusz,None,12500000.0,None,None,6.1,3600.0,None,Andrzej Wajda,1999
19800473,Melodies Old and New,None,None,None,None,6.5,89.0,None,Edward L. Cahn,1942
3675217,Dark Tales of Japan,None,None,None,None,5.8,576.0,None,Yoshihiro Nakamura,2004
30865068,Bride of Chucky,50688658.0,25000000.0,32400658.0,11830855.0,5.6,63000.0,966.0,Ronny Yu,1998
18940531,The Legion of the Condemned,None,295000.0,None,None,6.2,71.0,None,William A. Wellman,1928
25157975,"Tada, Kimi wo Aishiteru",5860538.0,None,None,None,7.4,3500.0,None,Takehiko Shinjô,2006
10745657,Rabbitson Crusoe,None,None,None,None,7.2,407.0,None,Friz Freleng,1956
32714688,Day of the Dead: Epidemic,None,None,None,None,None,None,None,None,None
24159059,In the Mood,999382.0,7000000.0,999382.0,45118.0,6.1,1100.0,None,Phil Alden Robinson,1987
30514819,Hitler,None,None,None,None,None,None,None,None,None
16042354,Break the Science Barrier,None,None,None,None,None,None,None,None,None
4756865,Grubstake,None,17000.0,None,None,5.0,29.0,None,Larry Buchanan,1952
26334484,Channels,None,None,None,None,None,None,None,None,None
8407971,Sahara Hare,None,None,None,None,None,None,None,None,None
898655,Visions of Light,799856.0,None,799856.0,27761.0,7.7,3300.0,None,Arnold Glassman,1992
29892611,Cousin Bette,1295194.0,None,1295194.0,76488.0,6.2,2800.0,None,Des McAnuff,1998
30308920,Puthumukhangal,None,None,None,None,5.3,15.0,None,Don Alex,2010
1610744,Blind Spot: Hitler's Secretary,378382.0,None,378382.0,9216.0,7.3,1800.0,None,André Heller,2002
8468136,Summer with the Ghosts,None,None,None,None,None,None,None,None,None
18673005,Hollywood & Wine,None,5000000.0,None,None,3.5,442.0,None,Matt Berman,2011
4639948,The House on Sorority Row,10604986.0,425000.0,10604986.0,617661.0,5.9,9700.0,None,Mark Rosman,1982
8670229,Hands on a Hard Body: The Documentary,563482.0,None,563482.0,7607.0,7.6,2400.0,None,S.R. Bindler,1997
24295254,Tokyo Emmanuelle,None,None,None,None,5.3,51.0,None,Akira Katô,1975
31143044,Dark Souls,None,1200000.0,None,None,4.7,1800.0,None,César Ducasse,2010
707808,Snatch,83557872.0,6000000.0,30328156.0,27932.0,8.2,891000.0,480.0,Guy Ritchie,2000
29302714,The Thriller,None,None,None,None,4.6,256.0,None,B. Unnikrishnan,2010
22645083,"Baantjer, de film: De Cock en de wraak zonder einde",None,None,None,None,6.5,190.0,None,Alain De Levita,None
3332886,The Unsaid,2154571.0,22000000.0,None,None,6.6,6700.0,None,Tom McLoughlin,2001
16146798,Salige,None,None,None,None,None,None,None,Peter Folie,2006
18419534,With the Enemy's Help,None,None,None,None,None,None,None,Wilfred Lucas,1912
26900679,It's Never Too Late,None,None,None,None,6.0,52.0,None,Michael McCarthy,1956
34741271,"When You're Young, the World Belongs to You",None,None,None,None,7.3,9.0,None,Henry Oebels-Oebström,1934
2343735,A Lady Without Passport,None,1088000.0,None,None,6.1,897.0,None,Joseph H. Lewis,1950
16091790,Sen Ne Dilersen,None,None,None,None,6.2,440.0,None,Cem Baseski,2005
